AGS,Kreis/Stadt,patienten_2013,summe_diagnosen,diagnosen_pro_1000,mre_2013,esbl_2013,vre_2013,mrsa_2013,change_percent
09161,Ingolstadt,24385,657,26.9427927004,129,219,161,148,-24
03460,Vechta,31143,838,26.9081334489,287,96,23,432,226
12053,Frankfurt,15810,425,26.8817204301,89,158,3,175,-15
09374,Neustadt a.d.Waldnaab,21775,585,26.8656716418,201,203,18,163,128
05562,Recklinghausen,177047,4727,26.6991250911,1484,1252,292,1699,6
05162,Rhein-Kreis Neuss,97680,2606,26.678951679,908,598,85,1015,77
06440,Wetteraukreis,64023,1702,26.5841963045,645,414,52,591,37
13075,Vorpommern-Greifswald,62790,1668,26.5647396082,601,387,308,372,
07319,"Worms, kreisfreie Stadt",19288,512,26.5450020738,140,161,82,129,51
05758,Herford,57742,1532,26.5318139309,566,293,66,607,8
14729,"Leipzig, Kreis",63664,1684,26.4513696909,630,613,118,323,172
05112,"Duisburg, Stadt",122736,3234,26.3492373876,760,616,388,1470,-4
09277,Rottal-Inn,27911,735,26.3337035577,50,239,192,254,-4
01004,"Neumünster, Stadt",17175,450,26.2008733624,112,96,26,216,84
05512,"Bottrop, Stadt",31598,826,26.1408949934,200,266,63,297,70
05954,Ennepe-Ruhr-Kreis,89068,2311,25.9464678672,553,675,150,933,-3
03355,Lüneburg,32523,840,25.8278756572,355,105,71,309,28
16067,Gotha,38475,991,25.7569850552,151,409,82,349,21
07338,Rhein-Pfalz-Kreis,31280,799,25.5434782609,176,373,56,194,13
05370,Heinsberg,56804,1450,25.5263713823,284,409,201,556,-45
15087,Mansfeld-Südharz,40963,1044,25.4864145692,201,452,76,315,23
03359,Stade,39427,1003,25.439419687,213,382,222,186,113
06611,"Kassel, Stadt",50056,1273,25.4315167013,429,315,24,505,22
05913,"Dortmund, Stadt",143223,3625,25.3101806274,1059,1251,121,1194,-17
06534,Marburg-Biedenkopf,47588,1200,25.2164411196,453,258,52,437,58
05914,"Hagen, Stadt",50253,1264,25.1527272004,376,370,77,441,23
03254,Hildesheim,59813,1503,25.1283165867,443,370,46,644,22
12073,Uckermark,36512,915,25.060254163,217,304,148,246,67
09363,Weiden i.d.OPf.,10178,254,24.9557869916,94,86,8,66,96
09371,Amberg-Sulzbach,23948,597,24.9290128612,224,175,28,170,-8
12072,Teltow-Fläming,39236,976,24.8751146906,315,203,51,407,50
16061,Eichsfeld,26724,662,24.7717407574,154,290,44,174,18
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",10916,270,24.7343349212,78,111,32,49,70
05974,Soest,79965,1975,24.6983055087,665,477,83,750,16
10045,Saarpfalz-Kreis,35530,877,24.6833661694,280,222,43,332,-17
03360,Uelzen,22799,562,24.6502039563,247,86,34,195,-10
16070,Ilm-Kreis,28009,690,24.6349387697,105,345,82,158,94
05915,"Hamm, Stadt",48316,1189,24.6088252339,377,263,44,505,-7
10046,St. Wendel,22698,558,24.5836637589,147,151,35,225,41
07141,Rhein-Lahn-Kreis,29639,726,24.4947535342,218,209,60,239,-6
07331,Alzey-Worms,27650,677,24.4846292948,178,240,64,195,46
06412,"Frankfurt am Main, Stadt",134841,3300,24.4732685163,796,1258,379,867,-1
05111,"Düsseldorf, Stadt",128715,3143,24.4182884668,974,971,110,1088,1
05170,Wesel,119372,2898,24.2770498944,820,773,273,1032,56
06636,Werra-Meißner-Kreis,29091,703,24.1655494827,225,215,24,239,3
07143,Westerwaldkreis,47680,1146,24.0352348993,320,365,37,424,36
07315,"Mainz, kreisfreie Stadt",36175,869,24.0221147201,254,330,30,255,5
07336,Kusel,18611,447,24.0180538391,74,152,84,137,-40
01060,Segeberg,58264,1394,23.9255801181,448,399,43,504,55
05978,Unna,108778,2599,23.8926988913,795,721,103,980,0
01055,Ostholstein,46134,1102,23.88693805,265,337,76,424,2
14511,"Chemnitz, Stadt",55861,1333,23.8628023129,199,612,121,401,165
03154,Helmstedt,20517,488,23.7851537749,128,129,47,184,-17
05570,Warendorf,67424,1602,23.7600854295,447,375,75,705,4
12065,Oberhavel,45573,1076,23.6104711123,404,244,61,367,45
05315,"Köln, Stadt",215417,5086,23.6100214932,1659,1343,319,1765,-6
03462,Wittmund,11959,282,23.580566937,67,85,3,127,131
03257,Schaumburg,33412,786,23.524482222,216,250,78,242,10
06413,"Offenbach am Main, Stadt",25784,606,23.5029475644,179,165,112,150,-10
07138,Neuwied,49927,1173,23.4943016805,389,257,57,470,-1
07317,"Pirmasens, kreisfreie Stadt",11080,260,23.4657039711,57,90,17,96,-42
09189,Traunstein,38930,908,23.3239147187,24,472,303,109,-8
06633,"Kassel, Kreis",56660,1321,23.3145075891,485,266,34,536,39
06434,Hochtaunuskreis,44567,1035,23.2234613055,337,290,59,349,15
03102,"Salzgitter, Stadt",24985,580,23.213928357,169,186,42,183,21
