AGS,Kreis/Stadt,patienten_2013,summe_diagnosen,diagnosen_pro_1000,mre_2013,esbl_2013,vre_2013,mrsa_2013,change_percent
08317,Ortenaukreis,80234,893,11.1299449111,164,269,184,276,-31
07235,Trier-Saarburg,35094,385,10.970536274,97,128,,160,-22
09775,Neu-Ulm,33004,360,10.9077687553,85,154,42,79,5
09188,Starnberg,26717,291,10.8919414605,54,110,43,84,-27
08216,Rastatt,44883,482,10.7390325959,118,198,30,136,-29
09179,Fürstenfeldbruck,44968,481,10.6964952855,91,213,48,129,-39
09780,Oberallgäu,28068,299,10.6527005843,35,122,37,105,-65
08426,Biberach,36876,391,10.6031022888,93,160,22,116,48
09180,Garmisch-Partenkirchen,20046,208,10.3761348898,55,61,12,80,-28
07211,"Trier, kreisfreie Stadt",22745,234,10.2879753792,36,85,17,96,100
09262,"Passau, Stadt",10949,109,9.9552470545,14,36,5,54,-53
09763,Kempten,12488,122,9.7693786035,13,62,16,31,0
09761,"Augsburg, Stadt",60405,582,9.634963993,120,244,59,159,-24
09171,Altötting,24884,235,9.4438193217,60,74,17,84,3
09187,"Rosenheim, Kreis",49872,470,9.424125762,119,179,33,139,-13
08119,Rems-Murr-Kreis,76822,699,9.0989560282,176,181,63,279,29
09779,Donau-Ries,29717,266,8.9511054279,75,73,32,86,4
09163,Rosenheim,12016,104,8.655126498,26,42,2,34,4
09678,"Schweinfurt, Kreis",26953,233,8.6446777724,73,61,29,70,1
09182,Miesbach,20694,115,5.5571663284,21,31,12,51,-46
